index,id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,churn,age_group,hasloan,camp_success,month_num,quarter,churn_cat
16707,id_36372,45.0,admin.,divorced,secondary,no,664.0,yes,no,cellular,29,jan,1041.0,1.0,2,0,Adult,True,False,1,Q1,UnSubscribed
23283,id_20347,47.0,admin.,single,secondary,no,831.0,yes,no,cellular,30,jan,46.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
9318,id_6306,59.0,entrepreneur,married,tertiary,no,4.0,no,yes,cellular,30,jan,542.0,1.0,2,0,Adult,True,False,1,Q1,UnSubscribed
9340,id_27758,49.0,services,married,primary,no,1492.0,yes,no,telephone,29,jan,269.0,2.0,2,0,Adult,True,False,1,Q1,UnSubscribed
9365,id_25377,28.0,management,single,tertiary,no,465.0,no,no,cellular,28,jan,64.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
1279,id_2758,41.0,admin.,single,secondary,no,164.0,yes,no,cellular,30,jan,92.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
9488,id_27846,55.0,unemployed,married,secondary,no,967.0,no,no,cellular,30,jan,67.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23112,id_34254,46.0,unemployed,single,secondary,no,3943.0,no,no,cellular,28,jan,249.0,1.0,0,0,Adult,False,False,1,Q1,UnSubscribed
9514,id_17356,56.0,management,married,unknown,no,880.0,yes,no,cellular,28,jan,49.0,2.0,3,0,Adult,True,False,1,Q1,UnSubscribed
23087,id_43350,47.0,management,married,secondary,no,27.0,no,no,cellular,29,jan,46.0,3.0,0,0,Adult,False,False,1,Q1,UnSubscribed
23046,id_41471,40.0,blue-collar,married,secondary,no,221.0,yes,no,cellular,29,jan,216.0,2.0,0,0,Adult,True,False,1,Q1,UnSubscribed
9563,id_12678,51.0,services,married,secondary,no,397.0,yes,yes,cellular,28,jan,449.0,1.0,8,0,Adult,True,False,1,Q1,UnSubscribed
23012,id_21913,34.0,blue-collar,single,secondary,no,294.0,yes,no,cellular,29,jan,255.0,3.0,4,0,Young Adult,True,False,1,Q1,UnSubscribed
9628,id_14313,33.0,management,married,tertiary,no,3950.0,no,no,cellular,28,jan,136.0,2.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
9630,id_28828,30.0,management,married,tertiary,no,332.0,yes,yes,cellular,28,jan,700.0,1.0,0,0,Young Adult,True,False,1,Q1,UnSubscribed
9631,id_9488,35.0,entrepreneur,married,secondary,no,4.0,yes,no,cellular,29,jan,345.0,3.0,0,0,Adult,True,False,1,Q1,UnSubscribed
9634,id_17334,32.0,admin.,married,secondary,no,255.0,no,no,cellular,28,jan,68.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
30502,id_19328,43.0,management,married,tertiary,no,160.0,yes,yes,cellular,28,jan,144.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
1303,id_17632,25.0,unemployed,married,primary,no,202.0,no,no,cellular,29,jan,242.0,1.0,0,0,Young Adult,False,False,1,Q1,UnSubscribed
23293,id_512,27.0,unemployed,single,secondary,no,624.0,no,no,cellular,28,jan,1465.0,2.0,0,1,Young Adult,False,True,1,Q1,Subscribed
23296,id_8846,43.0,management,single,tertiary,no,376.0,yes,no,cellular,28,jan,67.0,1.0,0,0,Adult,True,False,1,Q1,UnSubscribed
9281,id_10373,40.0,blue-collar,single,secondary,no,327.0,no,no,cellular,30,jan,30.0,4.0,0,0,Adult,False,False,1,Q1,UnSubscribed
9049,id_36303,62.0,blue-collar,married,secondary,no,180.0,no,no,cellular,14,jan,170.0,1.0,4,1,Senior,False,True,1,Q1,Subscribed
23488,id_9406,31.0,management,married,tertiary,no,374.0,no,no,cellular,29,jan,246.0,1.0,1,0,Young Adult,False,False,1,Q1,UnSubscribed
23483,id_3072,34.0,blue-collar,married,secondary,no,1983.0,yes,no,telephone,29,jan,50.0,1.0,2,0,Young Adult,True,False,1,Q1,UnSubscribed
23481,id_10274,55.0,retired,divorced,secondary,no,311.0,no,no,cellular,28,jan,935.0,2.0,0,0,Adult,False,False,1,Q1,UnSubscribed
